plotid,species,cover
081037,Anaphalis morrisonicola,1
081037,Angelica morrisonicola,1
081037,Geranium hayatanum,1
081037,Leontopodium microphyllum,1
081037,Parnassia palustris,1
081037,Phleum alpinum,1
081037,Potentilla tugitakensis,1
081037,Veronica persica,1
310501,Festuca ovina,2
310501,Juniperus formosana,2
310501,Juniperus squamata,61
310501,Rubus rolfei,1
310501,Thalictrum rubescens,1
310501,Trisetum spicatum v. formosanum,1
310501,Berberis morrisonensis,1
310501,Cirsium kawakamii,1
310501,Euphrasia transmorrisonensis,1
310501,Lycopodium veitchii,1
310501,Picris hieracioides s. morrisonensis,1
310501,Solidago virgaurea v. leiocarpa,1
310501,Swertia tozanensis,1
310501,Luzula taiwaniana,2
310501,Astilbe longicarpa,1
310501,Viola adenothrix,2
310501,Adenophora morrisonensis,1
310501,Anaphalis nepalensis,1
310501,Angelica morrisonicola,1
310501,Leontopodium microphyllum,1
310501,Parnassia palustris,1
310501,Aster takasagomontanus,1
310501,Scabiosa lacerifolia,1
310501,Dianthus pygmaeus,1
310501,Adenophora morrisonensis s. uehatae,1
310501,Brachypodium kawakamii,6
310501,Helictotrichon abietetorum,3
310501,Veronica morrisonicola,1
310501,Dryopsis fauriei,1
310501,Cotoneaster morrisonensis,3
310501,Rubus pungens v. oldhamii,1
310501,Rhamnus parvifolia,4
310501,Clinopodium laxiflorum,1
310501,Thalictrum myriophyllum,1
310501,Anthoxanthum horsfieldii v. formosanum,1
310501,Picris hieracioides s. ohwiana,1
310501,Deyeuxia suizanensis,2
310501,Polystichum prescottianum,1
310501,Clematis tsugetorum,1
310501,Cypripedium macranthum,1
310501,Ixeridium transnokoense,1
310501,Salix taiwanalpina v. takasagoalpina,1
310501,Silene glabella,1
310501,Woodsia okamotoi,1
093151,Miscanthus floridulus,1
093151,Yushania niitakayamensis,8
093151,Rhododendron pseudochrysanthum,45
093151,Abies kawakamii,1
093151,Deschampsia flexuosa,20
093151,Gaultheria itoana,1
093151,Gentiana arisanensis,1
093151,Juniperus squamata,24
093151,Rosa transmorrisonensis,1
093151,Oreomyrrhis involucrata,1
093151,Agrostis infirma,1
093151,Berberis morrisonensis,1
093151,Cirsium kawakamii,1
093151,Lycopodium veitchii,1
093151,Polystichum morii,1
093151,Festuca rubra,1
093151,Polygala japonica,1
093151,Luzula effusa,1
093151,Leontopodium microphyllum,1
093151,Veronica persica,1
290044,Yushania niitakayamensis,11
290044,Miscanthus sinensis,6
290044,Berberis kawakamii,2
290044,Abies kawakamii,1
290044,Festuca ovina,2
290044,Juniperus formosana,3
290044,Juniperus squamata,31
290044,Arabis lyrata s. kamtschatica,1
290044,Lonicera kawakamii,1
290044,Rosa transmorrisonensis,1
290044,Rubus rolfei,3
290044,Sedum morrisonense,1
290044,Berberis morrisonensis,6
290044,Pimpinella niitakayamensis,1
290044,Smilax menispermoidea,1
290044,Agropyron formosanum,4
290044,Dianthus pygmaeus,1
290044,Rosa sericea v. morrisonensis,1
290044,Fragaria hayatai,1
290044,Brachypodium kawakamii,6
290044,Silene morrisonmontana,1
290044,Veronica morrisonicola,1
290044,Gentiana scabrida,1
290044,Galium formosense,1
290044,Cotoneaster morrisonensis,7
290044,Origanum vulgare,1
290044,Carex chrysolepis,8
290044,Clinopodium laxiflorum,1
290044,Trisetum bifidum,3
300275,Yushania niitakayamensis,20
300275,Rhododendron pseudochrysanthum,57
300275,Festuca ovina,10
300275,Juniperus squamata,43
300275,Berberis morrisonensis,11
300275,Trichophorum subcapitatum,10
300275,Anaphalis nepalensis,1
300275,Potentilla tugitakensis,3
300275,Rosa sericea v. morrisonensis,3
300275,Veronica morrisonicola,1
300275,Carex chrysolepis,3
200268,Yushania niitakayamensis,3
200268,Rhododendron pseudochrysanthum,24
200268,Dryopteris austriaca,1
200268,Abies kawakamii,1
200268,Deschampsia flexuosa,1
200268,Festuca ovina,2
200268,Gaultheria itoana,1
200268,Gentiana arisanensis,1
200268,Juniperus formosana,1
200268,Juniperus squamata,43
200268,Agrostis clavata,1
200268,Dryopteris serratodentata,1
200268,Sedum morrisonense,1
200268,Carex breviculmis,1
200268,Berberis morrisonensis,10
200268,Euphrasia transmorrisonensis,1
200268,Hypericum nagasawai,1
200268,Lycopodium veitchii,1
200268,Potentilla leuconota,1
200268,Solidago virgaurea v. leiocarpa,1
200268,Luzula taiwaniana,1
200268,Athyrium reflexipinnum,1
200268,Trichophorum subcapitatum,1
200268,Anaphalis nepalensis,1
200268,Anaphalis morrisonicola,1
200268,Artemisia oligocarpa,6
200268,Rosa sericea v. morrisonensis,2
200268,Cryptogramma brunoniana,1
200268,Helictotrichon abietetorum,1
200268,Veronica morrisonicola,2
200268,Cirsium arisanense,2
200268,Cotoneaster konishii,1
200268,Potentilla matsumurae v. pilosa,1
200268,Dryopteris alpestris,1
200268,Hylotelephium subcapitatum,1
200268,Rubus pungens v. oldhamii,1
200268,Trisetum bifidum,1
200268,Geranium suzukii,1
200268,Senecio morrisonensis,1
020473,Yushania niitakayamensis,94
020473,Miscanthus sinensis,1
020473,Pieris taiwanensis,7
020473,Abies kawakamii,94
020473,Aletris formosana,1
020473,Deschampsia flexuosa,1
020473,Festuca ovina,1
020473,Gentiana arisanensis,1
020473,Rubus rolfei,1
020473,Viola senzanensis,1
020473,Lycopodium clavatum,1
020473,Swertia macrosperma,1
020473,Trisetum spicatum v. formosanum,1
020473,Veratrum formosanum,1
020473,Hypericum nagasawai,1
020473,Lycopodium veitchii,1
020473,Picris hieracioides s. morrisonensis,1
020473,Solidago virgaurea v. leiocarpa,1
020473,Luzula taiwaniana,1
320038,Yushania niitakayamensis,63
320038,Viola adenothrix v. tsugitakaensis,1
320038,Abies kawakamii,1
320038,Deschampsia flexuosa,1
320038,Gaultheria itoana,2
320038,Gentiana arisanensis,1
320038,Juniperus formosana,2
320038,Juniperus squamata,11
320038,Lycopodium obscurum,1
320038,Arabis lyrata s. kamtschatica,1
320038,Rosa transmorrisonensis,1
320038,Rubus rolfei,1
320038,Sedum morrisonense,1
320038,Gentiana davidii v. formosana,1
320038,Lycopodium clavatum,1
320038,Berberis morrisonensis,1
320038,Lycopodium veitchii,1
320038,Solidago virgaurea v. leiocarpa,1
320038,Luzula taiwaniana,1
320038,Anaphalis nepalensis,1
320038,Rhododendron pachysanthum,19
320038,Agropyron formosanum,1
320038,Adenophora morrisonensis s. uehatae,1
320038,Veronica morrisonicola,1
320038,Cirsium arisanense,1
320038,Dryopteris alpestris,1
200106,Rhododendron pseudochrysanthum,64
200106,Ainsliaea latifolia s. henryi,16
200106,Abies kawakamii,81
200106,Deschampsia flexuosa,2
200106,Gaultheria itoana,2
200106,Juniperus squamata,23
200106,Potentilla leuconota,1
200106,Trichophorum subcapitatum,1
088137,Ainsliaea macroclinidioides,2
088137,Yushania niitakayamensis,44
088137,Galium echinocarpum,1
088137,Senecio nemorensis v. dentatus,1
088137,Dryopteris lepidopoda,1
088137,Smilax vaginata,1
088137,Ainsliaea latifolia s. henryi,2
088137,Athyrium strigillosum,1
088137,Viola adenothrix v. tsugitakaensis,1
088137,Sedum actinocarpum,1
088137,Abies kawakamii,95
088137,Deschampsia flexuosa,5
088137,Festuca ovina,1
088137,Juniperus squamata,3
088137,Agrostis clavata,1
088137,Primula miyabeana,1
088137,Smilacina japonica,1
088137,Oreomyrrhis involucrata,3
088137,Carex breviculmis,3
088137,Veratrum formosanum,1
088137,Berberis morrisonensis,1
088137,Platanthera brevicalcarata,5
088137,Potentilla leuconota,1
088137,Polystichum morii,1
088137,Athyrium reflexipinnum,1
088137,Trichophorum subcapitatum,1
088137,Festuca rubra,1
088137,Pedicularis verticillata,1
088137,Deschampsia cespitosa v. festucifolia,3
088137,Cerastium trigynum v. morrisonense,1
088137,Saussurea glandulosa,1
088137,Leontopodium microphyllum,1
088137,Adenophora morrisonensis s. uehatae,1
088137,Ligularia kojimae,6
088137,Veronica oligosperma,1
088137,Goodyera nankoensis,1
088137,Silene morrisonmontana,1
088137,Thalictrum urbaini,1
088137,Veronica morrisonicola,1
088137,Cirsium arisanense,3
088137,Astilbe macroflora,2
088137,Agrostis infirma v. arisanmontana,1
088137,Carex brachyathera,1
088137,Amitostigma alpestre,1
088137,Dryopteris alpestris,1
088137,Androcorys pusillus,1
088137,Artemisia kawakamii,1
088137,Hylotelephium subcapitatum,1
088137,Melica onoei,1
088137,Polystichum lachenense,1
088137,Ranunculus junipericola,1
088137,Rubus pungens v. oldhamii,1
270011,Yushania niitakayamensis,30
270011,Rhododendron pseudochrysanthum,40
270011,Rhododendron rubropilosum,1
270011,Abies kawakamii,51
270011,Gaultheria itoana,1
270011,Juniperus formosana,1
270011,Juniperus squamata,2
270011,Agrostis infirma,1
310499,Yushania niitakayamensis,19
310499,Senecio nemorensis v. dentatus,1
310499,Oxalis acetocella s. griffithii,1
310499,Smilax vaginata,3
310499,Ainsliaea latifolia s. henryi,1
310499,Festuca ovina,1
310499,Juniperus squamata,57
310499,Arabis lyrata s. kamtschatica,1
310499,Cystopteris moupinensis,1
310499,Lonicera kawakamii,1
310499,Rubus rolfei,1
310499,Thalictrum rubescens,1
310499,Sedum morrisonense,1
310499,Berberis morrisonensis,5
310499,Cirsium kawakamii,1
310499,Hypericum nagasawai,1
310499,Pimpinella niitakayamensis,1
310499,Spiraea morrisonicola,1
310499,Solidago virgaurea v. leiocarpa,1
310499,Luzula taiwaniana,1
310499,Platanthera mandarinorum s. pachygloss,1
310499,Geranium hayatanum,1
310499,Aster takasagomontanus,1
310499,Dianthus pygmaeus,1
310499,Rosa sericea v. morrisonensis,1
310499,Aconitum fukutomei,2
310499,Adenophora morrisonensis s. uehatae,1
310499,Cryptogramma brunoniana,1
310499,Brachypodium kawakamii,1
310499,Helictotrichon abietetorum,1
310499,Veronica morrisonicola,1
310499,Ranunculus formosamontanus,1
310499,Lycopodium annotinum,1
310499,Artemisia kawakamii,1
310499,Rubus pungens v. oldhamii,1
310499,Clinopodium laxiflorum,1
310499,Clematis montana,1
310499,Gentiana scabrida v. punctulata,1
310499,Gymnocarpium remotepinnatum,1
310499,Viola biflora,1
310499,Picris hieracioides s. ohwiana,1
310499,Arabis gemmifera,1
310499,Sedum stellariaefolium,1
310499,Polystichum prescottianum,1
310499,Botrychium lunaria,1
310499,Clematis tsugetorum,1
310499,Epilobium platystigmatosum,1
310499,Filipendula kiraishiensis,1
310499,Sibbaldia procumbens,1
320048,Yushania niitakayamensis,38
320048,Senecio nemorensis v. dentatus,1
320048,Festuca ovina,3
320048,Gaultheria itoana,1
320048,Gentiana arisanensis,1
320048,Juniperus squamata,51
320048,Arabis lyrata s. kamtschatica,1
320048,Lonicera kawakamii,1
320048,Rubus rolfei,1
320048,Sedum morrisonense,1
320048,Viola senzanensis,1
320048,Berberis morrisonensis,1
320048,Platanthera brevicalcarata,1
320048,Potentilla leuconota,1
320048,Luzula taiwaniana,1
320048,Anaphalis nepalensis,1
320048,Rhododendron pachysanthum,1
320048,Agropyron formosanum,6
320048,Rosa sericea v. morrisonensis,1
320048,Adenophora morrisonensis s. uehatae,1
320048,Cirsium arisanense,1
320048,Amitostigma alpestre,1
320048,Dryopteris alpestris,1
320048,Rubus pungens v. oldhamii,1
320048,Hieracium morii,1
320048,Epilobium hohuanense,1
200271,Yushania niitakayamensis,77
200271,Rhododendron pseudochrysanthum,1
200271,Ainsliaea latifolia s. henryi,1
200271,Deschampsia flexuosa,1
200271,Festuca ovina,1
200271,Gaultheria itoana,1
200271,Gentiana arisanensis,1
200271,Juniperus formosana,1
200271,Juniperus squamata,9
200271,Agrostis clavata,1
200271,Sedum morrisonense,1
200271,Viola senzanensis,1
200271,Carex breviculmis,1
200271,Berberis morrisonensis,2
200271,Euphrasia transmorrisonensis,1
200271,Hypericum nagasawai,1
200271,Lycopodium veitchii,1
200271,Pimpinella niitakayamensis,1
200271,Potentilla leuconota,1
200271,Solidago virgaurea v. leiocarpa,1
200271,Polystichum morii,1
200271,Trichophorum subcapitatum,1
200271,Anaphalis nepalensis,1
200271,Anaphalis morrisonicola,1
200271,Parnassia palustris,1
200271,Artemisia oligocarpa,2
200271,Agropyron formosanum,1
200271,Rosa sericea v. morrisonensis,1
200271,Veronica oligosperma,1
200271,Helictotrichon abietetorum,1
200271,Veronica morrisonicola,1
200271,Cirsium arisanense,1
200271,Dryopteris alpestris,1
200271,Trisetum bifidum,1
200271,Geranium suzukii,1
320039,Yushania niitakayamensis,37
320039,Viola adenothrix v. tsugitakaensis,1
320039,Deschampsia flexuosa,3
320039,Gaultheria itoana,1
320039,Juniperus formosana,1
320039,Juniperus squamata,59
320039,Lycopodium obscurum,1
320039,Brachypodium sylvaticum,1
320039,Sedum morrisonense,1
320039,Agrostis infirma,1
320039,Berberis morrisonensis,1
320039,Solidago virgaurea v. leiocarpa,1
320039,Polystichum morii,1
320039,Anaphalis nepalensis,1
320039,Agropyron formosanum,1
320039,Veronica morrisonicola,1
320039,Dryopteris alpestris,1
320039,Hieracium morii,1
320040,Yushania niitakayamensis,57
320040,Deschampsia flexuosa,3
320040,Festuca ovina,1
320040,Gentiana arisanensis,1
320040,Juniperus squamata,39
320040,Lycopodium obscurum,1
320040,Primula miyabeana,1
320040,Sedum morrisonense,1
320040,Berberis morrisonensis,1
320040,Solidago virgaurea v. leiocarpa,1
320040,Luzula taiwaniana,1
320040,Anaphalis nepalensis,1
320040,Rhododendron pachysanthum,1
320040,Agropyron formosanum,1
320040,Cirsium arisanense,1
320040,Epilobium hohuanense,1
200108,Rhododendron pseudochrysanthum,4
200108,Deschampsia flexuosa,19
200108,Festuca ovina,2
200108,Gentiana arisanensis,1
200108,Juniperus squamata,52
200108,Agrostis clavata,1
200108,Berberis morrisonensis,3
200108,Lycopodium veitchii,2
200108,Potentilla leuconota,1
200108,Luzula taiwaniana,1
200108,Trichophorum subcapitatum,1
200108,Anaphalis nepalensis,1
200108,Erigeron morrisonensis,1
200108,Angelica morrisonicola,1
200108,Geranium hayatanum,4
200108,Rosa sericea v. morrisonensis,2
200108,Brachypodium kawakamii,1
200108,Veronica morrisonicola,1
200108,Cirsium arisanense,3
200108,Hieracium morii,1
200108,Agropyron mayebaranum,2
200108,Carex satzumensis,1
200108,Carex oxyandra,1
200108,Trisetum bifidum,1
320047,Yushania niitakayamensis,28
320047,Festuca ovina,1
320047,Gaultheria itoana,1
320047,Gentiana arisanensis,1
320047,Juniperus squamata,16
320047,Lonicera kawakamii,1
320047,Rosa transmorrisonensis,1
320047,Rubus rolfei,1
320047,Sedum morrisonense,1
320047,Viola senzanensis,1
320047,Lycopodium clavatum,1
320047,Berberis morrisonensis,1
320047,Lycopodium veitchii,1
320047,Platanthera brevicalcarata,1
320047,Potentilla leuconota,1
320047,Luzula taiwaniana,1
320047,Rhododendron pachysanthum,50
320047,Dianthus pygmaeus,1
320047,Cirsium arisanense,1
320047,Dryopteris alpestris,1
020445,Yushania niitakayamensis,82
020445,Miscanthus sinensis,2
020445,Rhododendron pseudochrysanthum,41
020445,Rhododendron rubropilosum,2
020445,Pyrola alboreticulata,1
020445,Abies kawakamii,65
020445,Aletris formosana,1
020445,Deschampsia flexuosa,1
020445,Festuca ovina,1
020445,Gaultheria itoana,1
020445,Gentiana arisanensis,1
020445,Juniperus formosana,2
020445,Juniperus squamata,1
020445,Lycopodium obscurum,1
020445,Ponerorchis takasagomontana,1
020445,Spiraea formosana,1
110115,Rhododendron pseudochrysanthum,87
110115,Gaultheria itoana,2
110115,Gentiana arisanensis,1
110115,Juniperus squamata,10
110115,Lonicera kawakamii,1
110115,Sedum morrisonense,1
110115,Berberis morrisonensis,1
110115,Potentilla leuconota,1
110115,Luzula taiwaniana,1
110115,Geranium hayatanum,1
310306,Yushania niitakayamensis,15
310306,Ainsliaea latifolia s. henryi,1
310306,Festuca ovina,13
310306,Gaultheria itoana,1
310306,Gentiana arisanensis,1
310306,Juniperus squamata,53
310306,Oreomyrrhis involucrata,1
310306,Viola senzanensis,1
310306,Trisetum spicatum v. formosanum,1
310306,Veratrum formosanum,1
310306,Berberis morrisonensis,3
310306,Cirsium kawakamii,1
310306,Lycopodium veitchii,1
310306,Pimpinella niitakayamensis,1
310306,Platanthera brevicalcarata,1
310306,Solidago virgaurea v. leiocarpa,1
310306,Luzula taiwaniana,1
310306,Anaphalis nepalensis,2
310306,Geranium hayatanum,1
310306,Potentilla tugitakensis,1
310306,Scabiosa lacerifolia,2
310306,Dianthus pygmaeus,1
310306,Rosa sericea v. morrisonensis,1
310306,Euphrasia nankotaizanensis,1
310306,Brachypodium kawakamii,3
310306,Helictotrichon abietetorum,1
310306,Veronica morrisonicola,1
310306,Elephantopus mollis,1
310306,Pedicularis ikomai,1
310306,Ranunculus formosamontanus,1
310306,Galium formosense,1
310306,Artemisia kawakamii,1
310306,Rubus pungens v. oldhamii,1
310306,Agropyron mayebaranum,1
310306,Anthoxanthum horsfieldii v. formosanum,1
310306,Picris hieracioides s. ohwiana,1
020466,Yushania niitakayamensis,91
020466,Rhododendron pseudochrysanthum,58
020466,Tripterospermum lanceolatum,1
020466,Aletris formosana,1
020466,Deschampsia flexuosa,1
020466,Festuca ovina,1
020466,Gaultheria itoana,1
020466,Gentiana arisanensis,1
020466,Juniperus formosana,3
020466,Juniperus squamata,40
020466,Agrostis clavata,1
020466,Lonicera kawakamii,1
020466,Viola senzanensis,1
020466,Lycopodium clavatum,1
020466,Trisetum spicatum v. formosanum,1
020466,Veratrum formosanum,1
020466,Berberis morrisonensis,1
020466,Cirsium kawakamii,1
020466,Euphrasia transmorrisonensis,1
020466,Hypericum nagasawai,1
020466,Lycopodium veitchii,1
020466,Picris hieracioides s. morrisonensis,1
020466,Pimpinella niitakayamensis,1
020466,Platanthera brevicalcarata,1
020466,Ponerorchis tominagai,1
020466,Potentilla leuconota,1
020466,Rosa taiwanensis,1
020466,Spiraea morrisonicola,1
200107,Hydrangea anomala,1
200107,Viola adenothrix v. tsugitakaensis,1
200107,Deschampsia flexuosa,9
200107,Festuca ovina,2
200107,Juniperus squamata,64
200107,Agrostis clavata,1
200107,Arabis lyrata s. kamtschatica,1
200107,Rosa transmorrisonensis,1
200107,Smilacina japonica,1
200107,Sedum morrisonense,2
200107,Oreomyrrhis involucrata,1
200107,Berberis morrisonensis,5
200107,Hypericum nagasawai,4
200107,Potentilla leuconota,1
200107,Polystichum morii,1
200107,Luzula taiwaniana,1
200107,Anaphalis nepalensis,1
200107,Angelica morrisonicola,2
200107,Geranium hayatanum,3
200107,Rosa sericea v. morrisonensis,1
200107,Rubus pungens,1
200107,Brachypodium kawakamii,1
200107,Veronica morrisonicola,1
200107,Cirsium arisanense,5
200107,Dryopteris alpestris,1
200107,Polystichum lachenense,1
200107,Gentiana scabrida v. punctulata,1
200107,Agropyron mayebaranum,1
310496,Dryopteris austriaca,1
310496,Abies kawakamii,1
310496,Juniperus squamata,59
310496,Lonicera kawakamii,4
310496,Rosa transmorrisonensis,1
310496,Sedum morrisonense,1
310496,Rhododendron pachysanthum,34
310496,Rosa sericea v. morrisonensis,1
310496,Prunella vulgaris s. asiatica v. nanhu,1
081019,Rhododendron pseudochrysanthum,10
081019,Deschampsia flexuosa,33
081019,Gentiana arisanensis,1
081019,Juniperus squamata,57
081019,Luzula taiwaniana,1
081019,Trichophorum subcapitatum,1
081019,Festuca rubra,1
081019,Hemiphragma heterophyllum,1
110113,Rhododendron pseudochrysanthum,1
110113,Gentiana arisanensis,1
110113,Juniperus squamata,95
110113,Berberis morrisonensis,3
110113,Hypericum nagasawai,1
110113,Platanthera brevicalcarata,1
110113,Potentilla leuconota,1
110113,Anaphalis nepalensis,1
110113,Potentilla tugitakensis,1
081038,Rhododendron pseudochrysanthum,74
081038,Deschampsia flexuosa,1
081038,Gentiana arisanensis,1
081038,Juniperus squamata,13
081038,Arabis lyrata s. kamtschatica,1
081038,Sedum morrisonense,1
081038,Oreomyrrhis involucrata,1
081038,Berberis morrisonensis,2
081038,Cirsium kawakamii,1
081038,Potentilla leuconota,1
081038,Rosa taiwanensis,6
081038,Luzula taiwaniana,1
081038,Boschniakia himalaica,1
081038,Trichophorum subcapitatum,1
081038,Festuca rubra,1
081038,Polygala japonica,1
081038,Anaphalis morrisonicola,1
081038,Leontopodium microphyllum,1
081038,Parnassia palustris,1
081038,Phleum alpinum,1
081038,Potentilla tugitakensis,1
081038,Veronica persica,1
081038,Artemisia oligocarpa,1
081038,Aster takasagomontanus,1
081038,Ophioglossum petiolatum,1
081038,Scabiosa lacerifolia,1
088057,Yushania niitakayamensis,12
088057,Rhododendron pseudochrysanthum,18
088057,Rubus pectinellus,1
088057,Carex brunnea,1
088057,Deschampsia flexuosa,20
088057,Festuca ovina,1
088057,Gaultheria itoana,9
088057,Juniperus squamata,38
088057,Agrostis infirma,1
088057,Lycopodium clavatum,1
088057,Veratrum formosanum,1
088057,Berberis morrisonensis,1
088057,Lycopodium veitchii,1
088057,Trichophorum subcapitatum,1
088057,Festuca rubra,1
088057,Anaphalis nepalensis,1
088057,Luzula effusa,1
088057,Leontopodium microphyllum,1
088057,Veronica morrisonicola,1
088057,Gentiana scabrida,1
270038,Festuca ovina,3
270038,Gaultheria itoana,1
270038,Juniperus squamata,95
270038,Arabis lyrata s. kamtschatica,1
270038,Agrostis infirma,2
270038,Berberis morrisonensis,1
270038,Solidago virgaurea v. leiocarpa,1
270038,Veronica morrisonicola,1
110499,Yushania niitakayamensis,10
110499,Berberis kawakamii,1
110499,Asplenium trichomanes,1
110499,Abies kawakamii,76
110499,Festuca ovina,1
110499,Juniperus formosana,8
110499,Juniperus squamata,5
110499,Cystopteris moupinensis,1
110499,Lonicera kawakamii,1
110499,Ribes formosanum,1
110499,Rubus rolfei,1
110499,Sedum morrisonense,1
110499,Arenaria subpilosa,1
110499,Agrostis infirma,3
110499,Euphrasia transmorrisonensis,1
110499,Hypericum nagasawai,1
110499,Pimpinella niitakayamensis,1
110499,Luzula taiwaniana,1
110499,Myriactis humilis,1
110499,Hemiphragma heterophyllum,1
110499,Anaphalis nepalensis,1
110499,Dianthus pygmaeus,1
110499,Veronica morrisonicola,1
110499,Cirsium arisanense,1
110499,Potentilla matsumurae v. pilosa,2
110499,Clinopodium laxiflorum,1
270039,Yushania niitakayamensis,65
270039,Miscanthus sinensis,8
270039,Berberis kawakamii,3
270039,Aletris formosana,1
270039,Gentiana arisanensis,1
